customer_id,products_purchased,complains,money_spent
1000661,5,0,4596
1001914,11,2,3773
1002167,11,1,2735
1002387,7,0,4931
1002419,8,0,3906
1000660,11,1,2550
1001913,12,3,3580
1002166,11,2,1703
1002388,7,1,4611
1002410,8,3,2354
1000660,10,2,4979
1001913,4,3,1743
1002164,3,2,2981
1002380,7,3,3433
1002411,1,3,3686
1000661,11,2,3082
1001915,8,3,2820
1002165,12,0,1018
1002387,3,1,1777
1002411,10,2,3401
1000661,6,0,1232
1001914,5,2,3239
1002167,2,2,2619
1002387,7,3,3415
1002419,10,1,1568
1000660,10,3,1797
1001913,10,0,4604
1002166,4,2,4572
1002388,5,2,4300
1002410,1,2,2560
1000660,11,2,3315
1001913,2,3,1493
1002164,3,0,3405
1002380,9,3,1578
1002411,6,1,3063
1000661,12,2,3332
1001915,3,1,3313
1002165,11,0,2410
1002387,6,3,2551
1002411,6,1,634
1000661,6,3,3826
1001914,11,2,1509
1002167,5,3,2918
1002387,4,3,4318
1002419,11,3,4554
1000660,6,0,4484
1001913,6,2,711
1002166,8,0,2936
1002388,2,2,1602
1002410,11,0,3336
1000660,3,1,731
1001913,5,1,2058
1002164,5,3,1943
1002380,7,2,1540
1002411,10,1,2593
1000661,10,1,3873
1001915,12,0,2351
1002165,1,3,3194
1002387,1,2,1876
1002411,1,2,1873
1000661,1,2,1387
1001914,10,1,4403
1002167,8,1,1098
1002387,2,2,1582
1002419,4,1,4171
1000660,2,0,4446
1001913,10,0,2822
1002166,3,0,1670
1002388,11,0,1322
1002410,2,3,1970
1000660,7,3,2262
1001913,2,1,4997
1002164,1,1,1885
1002380,11,3,2527
1002411,3,1,2910
1000661,7,0,4587
1001915,10,1,2464
1002165,8,0,3751
1002387,12,3,3987
1002411,6,2,3314
1000661,8,2,4711
1001914,1,0,3951
1002167,2,1,3276
1002387,3,2,547
1002419,8,1,711
1000660,11,3,4672
1001913,5,0,4547
1002166,6,3,3216
1002388,9,0,4785
1002410,8,3,4128
1000660,11,1,1822
1001913,12,0,990
1002164,10,1,3834
1002380,12,3,1280
1002411,4,0,670
1000661,9,1,3552
1001915,4,1,1599
1002165,6,1,1145
1002387,6,2,512
1002411,2,3,3226
1000661,6,2,652
1001914,4,3,3504
1002167,7,0,3593
1002387,7,3,4998
1002419,12,3,693
1000660,2,3,3410
1001913,2,2,2565
1002166,10,0,630
1002388,6,3,1390
1002410,12,0,921
1000660,2,0,3837
1001913,5,1,3355
1002164,2,1,1490
1002380,8,3,1214
1002411,2,2,1020
1000661,7,1,3511
1001915,9,0,3218
1002165,7,0,3704
1002387,12,1,4566
1002411,2,0,1660
1000661,11,3,3980
1001914,9,3,2647
1002167,6,3,1379
1002387,2,1,2398
1002419,5,3,4781
1000660,11,1,1757
1001913,5,0,1051
1002166,3,3,935
1002388,5,1,2667
1002410,7,3,2366
1000660,6,2,3210
1001913,11,3,966
1002164,6,0,1781
1002380,5,1,2835
1002411,9,0,2155
1000661,6,3,947
1001915,10,1,4149
1002165,12,1,1737
1002387,12,3,1945
1002411,4,3,4242
1000661,9,0,4035
1001914,4,1,4287
1002167,8,3,4599
1002387,9,2,1823
1002419,5,1,2489
1000660,11,3,3151
1001913,3,3,4989
1002166,7,0,3289
1002388,11,3,2174
1002410,8,0,3125
1000660,10,2,1020
1001913,12,2,4613
1002164,3,0,2840
1002380,8,0,2205
1002411,6,1,3722
1000661,10,2,1055
1001915,11,0,1588
1002165,4,0,3461
1002387,5,3,1657
1002411,9,3,4079
1000661,10,2,3789
1001914,5,3,3299
1002167,12,1,2300
1002387,4,2,3512
1002419,2,1,3302
1000660,2,2,4335
1001913,2,1,3672
1002166,1,3,686
1002388,6,0,2711
1002410,11,2,4075
1000660,12,2,1167
1001913,8,0,1352
1002164,11,3,3981
1002380,12,1,4176
1002411,7,3,4428
1000661,5,2,3319
1001915,7,1,4065
1002165,6,2,2106
1002387,1,2,4745
1002411,1,0,4940
1000661,9,0,3735
1001914,6,2,960
1002167,2,1,3443
1002387,2,3,3457
1002419,2,2,2236
1000660,5,1,2839
1001913,2,3,2791
1002166,5,2,3213
1002388,7,3,1441
1002410,12,3,2601
1000660,11,1,1169
1001913,10,0,2496
1002164,1,2,528
1002380,10,2,3566
1002411,7,2,3210
1000661,2,3,1827
1001915,11,0,2510
1002165,8,0,3641
1002387,11,0,4642
1002411,5,0,3256
1000661,1,1,1009
1001914,6,1,2969
1002167,4,2,3195
1002387,11,3,1310
1002419,2,3,3095
1000660,11,2,2055
1001913,9,1,1218
1002166,8,1,1978
1002388,12,3,2322
1002410,3,2,3651
1000660,9,0,2393
1001913,3,1,2671
1002164,5,0,2842
1002380,8,1,2092
1002411,2,0,3825
1000661,4,2,4130
1001915,3,1,2937
1002165,7,1,1743
1002387,12,1,1845
1002411,6,2,2012
1000661,6,3,3531
1001914,12,3,4707
1002167,8,2,1514
1002387,10,1,2804
1002419,8,2,2656
1000660,4,1,522
1001913,2,0,1483
1002166,6,3,4259
1002388,8,1,2612
1002410,7,3,3832
1000660,2,3,3019
1001913,9,0,983
1002164,6,0,2176
1002380,3,2,4149
1002411,3,1,1958
1000661,3,2,4626
1001915,3,3,3782
1002165,1,1,4798
1002387,6,1,4224
1002411,7,3,4341
1000661,12,2,1972
1001914,11,2,4029
1002167,3,0,3696
1002387,2,0,3278
1002419,9,0,2438
1000660,2,3,2195
1001913,11,1,3355
1002166,5,3,4875
1002388,6,3,3025
1002410,2,3,1968
1000660,4,0,1606
1001913,12,2,4904
1002164,3,2,3486
1002380,3,1,4586
1002411,11,3,4079
1000661,9,0,619
1001915,12,0,1960
1002165,7,1,1029
1002387,10,0,998
1002411,3,0,3217
1000661,11,1,4885
1001914,5,0,770
1002167,3,1,3211
1002387,2,1,3831
1002419,12,2,2955
1000660,5,3,4968
1001913,8,1,2553
1002166,6,3,1996
1002388,5,2,677
1002410,6,1,2906
1000660,1,1,4061
1001913,9,2,2422
1002164,3,2,2257
1002380,1,2,3931
1002411,8,0,2027
1000661,3,3,3294
1001915,5,0,1803
1002165,4,0,3786
1002387,2,1,1399
1002411,7,3,1095
1000661,5,1,3229
1001914,8,3,1971
1002167,8,3,2592
1002387,2,1,1951
1002419,10,1,936
1000660,3,1,649
1001913,4,0,2950
1002166,10,1,4430
1002388,12,1,690
1002410,7,2,4275
1000660,8,3,2338
1001913,11,1,2165
1002164,9,2,3337
1002380,11,3,3513
1002411,5,1,1067
1000661,12,1,4781
1001915,10,2,3831
1002165,3,2,1293
1002387,1,3,1240
1002411,8,3,3350
1000661,5,2,3309
1001914,2,0,834
1002167,6,2,1184
1002387,9,3,3311
1002419,8,3,2843
1000660,11,1,1046
1001913,3,3,1016
1002166,6,0,1085
1002388,4,3,2771
1002410,1,1,3967
1000660,1,0,691
1001913,2,0,4415
1002164,2,3,698
1002380,11,0,1824
1002411,8,1,2101
1000661,4,0,4783
1001915,1,2,1925
1002165,10,3,2222
1002387,8,3,2271
1002411,4,1,2010
1000661,2,2,1763
1001914,4,1,3546
1002167,2,2,2256
1002387,9,3,646
1002419,1,1,3692
1000660,12,0,4756
1001913,9,3,1492
1002166,5,0,1445
1002388,6,0,4130
1002410,5,3,2511
1000660,6,2,2230
1001913,11,0,2079
1002164,7,3,2135
1002380,12,0,572
1002411,8,1,2597
1000661,10,2,1853
1001915,10,2,2528
1002165,7,0,1132
1002387,5,2,2824
1002411,9,1,3859
1000661,9,2,2926
1001914,6,1,1283
1002167,6,3,3998
1002387,3,1,1775
1002419,1,1,1874
1000660,12,1,759
1001913,4,0,1544
1002166,12,2,1265
1002388,8,2,2287
1002410,2,1,4528
1000660,1,1,3012
1001913,9,0,1813
1002164,7,0,2144
1002380,8,1,4083
1002411,7,2,4841
1000661,11,0,875
1001915,10,1,1265
1002165,6,1,1078
1002387,11,3,2975
1002411,7,0,2301
1000661,11,0,2669
1001914,2,1,2756
1002167,4,1,1266
1002387,5,0,2865
1002419,10,0,4259
1000660,6,3,2854
1001913,2,3,1970
1002166,5,0,1854
1002388,6,2,3400
1002410,4,1,4614
1000660,6,3,4221
1001913,10,3,4105
1002164,8,0,3736
1002380,3,3,2916
1002411,7,2,4796
1000661,11,1,2555
1001915,7,0,4131
1002165,9,0,1880
1002387,1,3,3561
1002411,10,3,3156
1000661,3,0,1872
1001914,3,2,4657
1002167,10,0,1919
1002387,12,0,1448
1002419,1,3,3103
1000660,2,0,2874
1001913,12,1,783
1002166,5,0,1767
1002388,6,2,4660
1002410,12,0,4119
1000660,2,0,4654
1001913,12,3,2344
1002164,2,0,2253
1002380,2,2,2374
1002411,10,3,1548
1000661,6,3,556
1001915,7,3,1492
1002165,4,2,4283
1002387,12,2,3315
1002411,12,0,4479
1000661,2,0,1319
1001914,9,3,4549
1002167,3,0,3650
1002387,7,2,2036
1002419,8,3,3095
1000660,9,2,1911
1001913,3,0,4341
1002166,8,2,680
